idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
92,long,9382,2025-09-25 16:00:00,1.33839,1.3352,1.34318,0.0015971428571428209,5.0,0.01,9383,2025-09-25 17:00:00,1.3352,SL,1,False,False,-0.003190000000000026,-1.9973166368515822,-3.190000000000026,-0.0,0.0793,0,-3.269300000000026,
93,long,9504,2025-10-02 18:00:00,1.34209,1.33901,1.34671,0.0015400000000000017,5.0,0.01,9521,2025-10-03 11:00:00,1.34671,TP,17,False,False,0.0046200000000000685,3.0000000000000413,4.6200000000000685,-0.0255,0.0793,1,4.5152000000000685,
94,long,9573,2025-10-07 15:00:00,1.34016,1.33739,1.34431,0.0013842857142857584,5.0,0.01,9576,2025-10-07 18:00:00,1.34431,TP,3,False,False,0.004149999999999876,2.997936016511683,4.149999999999876,-0.0,0.0793,0,4.070699999999876,
95,long,9617,2025-10-09 11:00:00,1.33527,1.33231,1.33971,0.0014800000000000052,5.0,0.01,9624,2025-10-09 18:00:00,1.33231,SL,7,False,False,-0.0029599999999998516,-1.9999999999998928,-2.9599999999998516,-0.0,0.0793,0,-3.0392999999998516,
96,long,9644,2025-10-10 14:00:00,1.32622,1.32319,1.33076,0.001512857142857173,5.0,0.01,9647,2025-10-10 17:00:00,1.33076,TP,3,False,False,0.0045399999999999885,3.0009442870632,4.5399999999999885,-0.0,0.0793,0,4.460699999999989,
97,long,9688,2025-10-14 10:00:00,1.32803,1.32534,1.33206,0.0013442857142857184,5.0,0.01,9688,2025-10-14 10:00:00,1.32534,SL,0,False,False,-0.002690000000000081,-2.0010626992561646,-2.690000000000081,-0.0,0.0793,0,-2.769300000000081,
98,long,9832,2025-10-22 10:00:00,1.33351,1.33133,1.33678,0.0010900000000000196,5.0,0.01,9833,2025-10-22 11:00:00,1.33133,SL,1,False,False,-0.0021800000000000708,-2.000000000000029,-2.1800000000000708,-0.0,0.0793,0,-2.2593000000000707,
99,long,9934,2025-10-28 16:00:00,1.32562,1.32171,1.33148,0.0019535714285714117,5.0,0.01,9952,2025-10-29 10:00:00,1.32171,SL,18,False,False,-0.00391000000000008,-2.001462522851978,-3.91000000000008,-0.0765,0.0793,3,-4.06580000000008,
100,long,9953,2025-10-29 11:00:00,1.3209,1.31854,1.32444,0.0011814285714285555,5.0,0.01,9959,2025-10-29 17:00:00,1.32444,TP,6,False,False,0.0035400000000000986,2.996372430471708,3.540000000000099,-0.0,0.0793,0,3.460700000000099,
101,long,9981,2025-10-30 15:00:00,1.31378,1.31012,1.31928,0.0018321428571428852,5.0,0.01,10005,2025-10-31 15:00:00,1.31012,SL,24,False,False,-0.0036599999999999966,-1.9976608187134177,-3.6599999999999966,-0.0255,0.0793,1,-3.7647999999999966,
