idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
87,short,43215,2026-07-07 19:19:00,4142.84,4147.83,0.0,1.663860532555791,15.0,0.01,43287,2026-07-07 20:31:00,4147.83,SL,72,False,False,-4.989999999999782,-2.9990494409617603,-4.989999999999782,0.0,0.0793,0,-5.069299999999782,
88,long,43306,2026-07-07 20:50:00,4145.48,4141.79,0.0,1.2287844563924029,15.0,0.01,43318,2026-07-07 21:02:00,4141.79,SL,12,False,False,-3.6899999999996,-3.0029676732997563,-3.6899999999996,-0.0,0.0793,0,-3.7692999999995997,
89,short,43466,2026-07-07 23:30:00,4110.65,4107.33,0.0,1.47567165967718,57.0,0.01,43472,2026-07-07 23:36:00,4107.33,SL,6,False,True,3.319999999999709,2.2498229726292887,3.319999999999709,0.0,0.0793,0,3.240699999999709,
90,short,43494,2026-07-07 23:58:00,4106.26,4110.17,0.0,1.3028986558232312,69.0,0.01,43650,2026-07-08 03:34:00,4110.17,SL,156,False,False,-3.9099999999998545,-3.001000870270556,-3.9099999999998545,0.702,0.0793,3,-3.2872999999998544,
91,short,44846,2026-07-08 23:30:00,4076.61,4073.97,0.0,1.493947051798121,29.0,0.01,44851,2026-07-08 23:35:00,4073.97,SL,5,False,True,2.6400000000003274,1.7671309012075174,2.6400000000003274,0.0,0.0793,0,2.5607000000003275,
92,short,44867,2026-07-08 23:51:00,4076.81,4074.31,0.0,1.2437030123244759,49.0,0.01,44880,2026-07-09 01:04:00,4074.31,SL,13,False,True,2.5,2.0101261918852398,2.5,0.23399999999999999,0.0793,1,2.6547,
93,long,45956,2026-07-09 19:00:00,4126.96,4129.7,0.0,1.5225386043427829,15.0,0.01,45968,2026-07-09 19:12:00,4129.7,SL,12,False,True,2.7399999999997817,1.7996259616566679,2.7399999999997817,-0.0,0.0793,0,2.660699999999782,
94,long,45980,2026-07-09 19:24:00,4129.27,4137.01,0.0,1.6088462851855594,15.0,0.01,45989,2026-07-09 19:33:00,4137.01,SL,9,False,True,7.739999999999782,4.810900874291464,7.739999999999782,-0.0,0.0793,0,7.660699999999782,
95,long,46004,2026-07-09 19:48:00,4132.55,4128.22,0.0,1.444583524659389,15.0,0.01,46015,2026-07-09 19:59:00,4128.22,SL,11,False,False,-4.329999999999927,-2.9974036987725414,-4.329999999999927,-0.0,0.0793,0,-4.409299999999927,
96,long,46027,2026-07-09 20:11:00,4126.45,4131.04,0.0,1.4346968810665737,15.0,0.01,46048,2026-07-09 20:32:00,4131.04,SL,21,False,True,4.5900000000001455,3.199282064785612,4.5900000000001455,-0.0,0.0793,0,4.510700000000146,
97,long,46178,2026-07-09 22:42:00,4120.46,4122.54,0.0,1.0211621666301183,15.0,0.01,46188,2026-07-09 22:52:00,4122.54,SL,10,False,True,2.0799999999999272,2.036894890910444,2.0799999999999272,-0.0,0.0793,0,2.0006999999999273,
98,long,46199,2026-07-09 23:03:00,4121.72,4124.65,0.0,1.0970630786955493,23.0,0.01,46233,2026-07-09 23:37:00,4124.65,SL,34,False,True,2.9299999999993815,2.6707671207778367,2.9299999999993815,-0.0,0.0793,0,2.8506999999993816,
99,long,46243,2026-07-09 23:47:00,4123.49,4125.61,0.0,0.6917609373766197,49.0,0.02,46263,2026-07-10 01:07:00,4125.61,SL,20,False,True,2.119999999999891,3.064642545500782,4.239999999999782,-1.5541999999999998,0.1586,1,2.527199999999782,
100,long,47376,2026-07-10 19:40:00,4112.55,4108.18,0.0,1.4580288257589131,15.0,0.01,47383,2026-07-10 19:47:00,4108.18,SL,7,False,False,-4.369999999999891,-2.997197258926125,-4.369999999999891,-0.0,0.0793,0,-4.449299999999891,
101,short,47408,2026-07-10 20:12:00,4105.2,4101.27,0.0,1.3808143837448676,15.0,0.01,47457,2026-07-10 21:01:00,4101.27,SL,49,False,True,3.9299999999993815,2.8461464815719397,3.9299999999993815,0.0,0.0793,0,3.8506999999993816,
102,short,47555,2026-07-10 22:39:00,4102.76,4105.6,0.0,0.9467283804174933,15.0,0.01,47568,2026-07-10 22:52:00,4105.6,SL,13,False,False,-2.8400000000001455,-2.999804441003181,-2.8400000000001455,0.0,0.0793,0,-2.9193000000001454,
103,short,47571,2026-07-10 22:55:00,4105.74,4108.51,0.0,0.9243384618680095,15.0,0.01,47574,2026-07-10 22:58:00,4108.51,SL,3,False,False,-2.7700000000004366,-2.9967377906167636,-2.7700000000004366,0.0,0.0793,0,-2.8493000000004365,
104,long,47593,2026-07-10 23:17:00,4111.09,4120.14,0.0,1.0793212941767112,23.0,0.01,47632,2026-07-10 23:56:00,4120.14,SL,39,False,True,9.050000000000182,8.384898962735072,9.050000000000182,-0.0,0.0793,0,8.970700000000182,
105,short,48927,2026-07-13 22:31:00,4000.02,3997.16,0.0,1.6202765024632375,15.0,0.01,48932,2026-07-13 22:36:00,3997.16,SL,5,False,True,2.8600000000001273,1.765130825295677,2.8600000000001273,0.0,0.0793,0,2.7807000000001274,
106,short,48943,2026-07-13 22:47:00,3998.91,4003.63,0.0,1.5731671478306146,15.0,0.01,48958,2026-07-13 23:02:00,4003.63,SL,15,False,False,-4.720000000000255,-3.000316912611033,-4.720000000000255,0.0,0.0793,0,-4.799300000000255,
107,short,48985,2026-07-13 23:29:00,3999.39,4002.84,0.0,1.148649528327798,23.0,0.01,49016,2026-07-14 01:00:00,4002.84,SL,31,False,False,-3.450000000000273,-3.0035271115487916,-3.450000000000273,0.23399999999999999,0.0793,1,-3.295300000000273,
108,long,50162,2026-07-14 20:06:00,4060.2,4055.21,0.0,1.6640947269691788,15.0,0.01,50171,2026-07-14 20:15:00,4055.21,SL,9,False,False,-4.989999999999782,-2.9986273732674373,-4.989999999999782,-0.0,0.0793,0,-5.069299999999782,
109,long,50198,2026-07-14 20:42:00,4061.07,4056.85,0.0,1.4066423790915747,15.0,0.01,50241,2026-07-14 21:25:00,4056.85,SL,43,False,False,-4.220000000000255,-3.0000517990404765,-4.220000000000255,-0.0,0.0793,0,-4.299300000000255,
110,long,50348,2026-07-14 23:12:00,4054.69,4051.63,0.0,1.020491370314217,23.0,0.01,50369,2026-07-14 23:33:00,4051.63,SL,21,False,False,-3.0599999999999454,-2.99855548906577,-3.0599999999999454,-0.0,0.0793,0,-3.1392999999999454,
111,long,51751,2026-07-15 23:35:00,4060.83,4064.24,0.0,0.9244900672086387,60.0,0.01,51780,2026-07-16 01:04:00,4064.24,SL,29,False,True,3.4099999999998545,3.6885198889111335,3.4099999999998545,-0.7770999999999999,0.0793,1,2.5535999999998547,
112,short,52938,2026-07-16 20:22:00,3988.39,3983.17,0.0,1.6318517483068269,15.0,0.01,52952,2026-07-16 20:36:00,3983.17,SL,14,False,True,5.2199999999998,3.1988199941667226,5.2199999999998,0.0,0.0793,0,5.1406999999998,
113,short,53123,2026-07-16 23:27:00,3975.26,3979.06,0.0,1.2653489042891914,23.0,0.01,53156,2026-07-17 01:00:00,3979.06,SL,33,False,False,-3.799999999999727,-3.0031242664523217,-3.799999999999727,0.23399999999999999,0.0793,1,-3.645299999999727,
114,long,54294,2026-07-17 19:58:00,4016.02,4018.24,0.0,1.62779658180125,15.0,0.01,54298,2026-07-17 20:02:00,4018.24,SL,4,False,True,2.2199999999998,1.3638067709561368,2.2199999999998,-0.0,0.0793,0,2.1406999999998,
115,long,54309,2026-07-17 20:13:00,4014.82,4010.44,0.0,1.460287631089789,15.0,0.01,54331,2026-07-17 20:35:00,4010.44,SL,22,False,False,-4.380000000000109,-2.9994090936258813,-4.380000000000109,-0.0,0.0793,0,-4.459300000000109,
116,long,54337,2026-07-17 20:41:00,4010.82,4015.05,0.0,1.417697142965796,15.0,0.01,54386,2026-07-17 21:30:00,4015.05,SL,49,False,True,4.230000000000018,2.983712015636102,4.230000000000018,-0.0,0.0793,0,4.150700000000018,
117,short,54448,2026-07-17 22:32:00,4007.06,4010.85,0.0,1.263386619301217,15.0,0.01,54461,2026-07-17 22:45:00,4010.85,SL,13,False,False,-3.7899999999999636,-2.99987346873772,-3.7899999999999636,0.0,0.0793,0,-3.8692999999999635,
118,long,54482,2026-07-17 23:06:00,4013.36,4009.16,0.0,1.399259090424823,23.0,0.01,54495,2026-07-17 23:19:00,4009.16,SL,13,False,False,-4.200000000000273,-3.0015885040454724,-4.200000000000273,-0.0,0.0793,0,-4.279300000000273,
119,long,54499,2026-07-17 23:23:00,4010.02,4014.93,0.0,0.9504856779238816,23.0,0.01,54522,2026-07-17 23:46:00,4014.93,SL,23,False,True,4.9099999999998545,5.165780099627199,4.9099999999998545,-0.0,0.0793,0,4.8306999999998546,
120,long,55614,2026-07-20 18:58:00,4013.04,4017.37,0.0,1.4805939140122595,15.0,0.01,55624,2026-07-20 19:08:00,4017.37,SL,10,False,True,4.329999999999927,2.9245020927217418,4.329999999999927,-0.0,0.0793,0,4.250699999999927,
121,long,55630,2026-07-20 19:14:00,4013.68,4009.2,0.0,1.491875109160454,15.0,0.01,55657,2026-07-20 19:41:00,4009.2,SL,27,False,False,-4.480000000000018,-3.0029323315951815,-4.480000000000018,-0.0,0.0793,0,-4.559300000000018,
122,short,55674,2026-07-20 19:58:00,4009.48,4004.85,0.0,1.6357157049741762,15.0,0.01,55728,2026-07-20 20:52:00,4004.85,SL,54,False,True,4.630000000000109,2.830565229593614,4.630000000000109,0.0,0.0793,0,4.550700000000109,
123,short,55873,2026-07-20 23:17:00,4008.04,4005.08,0.0,1.106805927994573,23.0,0.01,55959,2026-07-21 01:43:00,4005.08,SL,86,False,True,2.9600000000000364,2.674362257313958,2.9600000000000364,0.23399999999999999,0.0793,1,3.1147000000000364,
124,long,57017,2026-07-21 19:21:00,4076.52,4072.73,0.0,1.2624776068963266,15.0,0.01,57033,2026-07-21 19:37:00,4072.73,SL,16,False,False,-3.7899999999999636,-3.0020334454226836,-3.7899999999999636,-0.0,0.0793,0,-3.8692999999999635,
